code,name,port_code,port_name,country_ports_id,
AGO,ANGOLA (REPUBLICA DE),SPP,Menongue,5,81
AGO,ANGOLA (REPUBLICA DE),SSY,Mbanza Congo,5,82
AGO,ANGOLA (REPUBLICA DE),SVP,Kuito,5,83
AGO,ANGOLA (REPUBLICA DE),SZA,Soyo,5,84
AGO,ANGOLA (REPUBLICA DE),TAK,Takula Terminal,5,85
AGO,ANGOLA (REPUBLICA DE),UAL,Luau,5,86
AGO,ANGOLA (REPUBLICA DE),UGO,Uige,5,87
AGO,ANGOLA (REPUBLICA DE),VHC,Saurimo,5,88
AGO,ANGOLA (REPUBLICA DE),VPE,Ongiva,5,89
AGO,ANGOLA (REPUBLICA DE),XGN,Xangongo,5,90
AIA,ANGUILA,AXA,Anguilla,6,91
AIA,ANGUILA,BLP,Blowing Point,6,92
AIA,ANGUILA,FOR,The Forest,6,93
AIA,ANGUILA,RBY,Road Bay,6,94
AIA,ANGUILA,ROA,The Road,6,95
AIA,ANGUILA,VAL,The Valley,6,96
AIA,ANGUILA,WLL,Wall Blake,6,97
ALB,ALBANIA (REPUBLICA DE),DRZ,DurrÔs,2,98
ALB,ALBANIA (REPUBLICA DE),SAR,Sarande,2,99
ALB,ALBANIA (REPUBLICA DE),SHG,Shengjin,2,100
ALB,ALBANIA (REPUBLICA DE),TEN,Tenes,2,101
ALB,ALBANIA (REPUBLICA DE),TIA,Tirana,2,102
ALB,ALBANIA (REPUBLICA DE),VOA,Vlora,2,103
AND,ANDORRA (PRINCIPADO DE),ALV,Andorra La Vella,4,104
ANT,ANTILLAS NEERLANDESAS (TERRITORIO HOLANDES DE ULTRAMAR),AUA,Aruba,8,105
ANT,ANTILLAS NEERLANDESAS (TERRITORIO HOLANDES DE ULTRAMAR),BAR,Barcadera,8,106
ANT,ANTILLAS NEERLANDESAS (TERRITORIO HOLANDES DE ULTRAMAR),BON,Bonaire,8,107
ANT,ANTILLAS NEERLANDESAS (TERRITORIO HOLANDES DE ULTRAMAR),BOT,The Bottom,8,108
ANT,ANTILLAS NEERLANDESAS (TERRITORIO HOLANDES DE ULTRAMAR),BUB,Bullen Bay,8,109
ANT,ANTILLAS NEERLANDESAS (TERRITORIO HOLANDES DE ULTRAMAR),BUS,Bushiribana,8,110
ANT,ANTILLAS NEERLANDESAS (TERRITORIO HOLANDES DE ULTRAMAR),CRB,"Caracasbaii, Curaçao",8,111
ANT,ANTILLAS NEERLANDESAS (TERRITORIO HOLANDES DE ULTRAMAR),CUR,Curacao,8,112
ANT,ANTILLAS NEERLANDESAS (TERRITORIO HOLANDES DE ULTRAMAR),EMM,Emmastad,8,113
ANT,ANTILLAS NEERLANDESAS (TERRITORIO HOLANDES DE ULTRAMAR),EUX,St Eustatius,8,114
ANT,ANTILLAS NEERLANDESAS (TERRITORIO HOLANDES DE ULTRAMAR),FUI,"Fuikbaai, Curaçao",8,115
